vam,am
-53.825823,0.4543812
-49.776669,0.5986292
-45.797328,0.4471688
-40.631166,0.6202664
-40.910418,0.7717268
-34.20837,0.9231872
-31.066785,0.2452216
-30.368655,1.0025236
-27.9252,1.3198692
-26.947818,1.5939404
-21.781656,2.0050472
-18.779697,2.16372
-18.15138,2.5531896
-13.334283,3.06527
-9.704007,2.8056236
-4.537845,2.8561104
-3.979341,4.0894308
2.722707,3.894696
0.418878,4.940494
9.77382,4.6736352
10.262511,5.661734
16.336242,5.2722644
17.313624,5.6905836
24.993054,5.9790796
28.762956,5.3083264
15.428673,6.9671784
41.18967,6.419036
24.294924,7.5153208
29.042208,7.8470912
31.41585,7.861516
38.536776,7.75333
49.637043,7.2556744
38.746215,8.4673576
48.310596,8.8496148
36.163134,9.37612
45.448263,9.3544828
43.214247,9.7151028
50.544612,9.7872268
