van,an
-63.983192,0.04952124
-64.510526,0.03484828
-57.918851,0.0871207
-54.139624,0.0825354
-52.030288,0.0962913
-49.833063,0.09720836
-45.70228,0.14031018
-46.053836,0.19441672
-44.383945,0.15039784
-41.132052,0.15498314
-39.55005,0.18249494
-39.374272,0.19900202
-34.452488,0.19900202
-33.309931,0.23568442
-32.079485,0.27420094
-28.476036,0.23568442
-32.255263,0.33564396
-26.894034,0.31088334
-22.411695,0.32280512
-19.247691,0.34206338
-18.984024,0.44569116
-9.492012,0.4356035
-5.097562,0.48237356
-4.921784,0.5227242
2.373003,0.54656776
9.404123,0.61167902
9.404123,0.64102494
15.907909,0.64010788
24.081586,0.733648
24.169475,0.73731624
28.036591,0.76024274
27.069812,0.7932569
23.202696,0.92256236
31.024817,0.85194874
38.846938,0.7978422
40.165273,0.91522588
37.880159,0.95007416
35.770823,1.00051246
45.262835,0.97300066
49.481507,0.96658124
53.700179,0.95741064
48.075283,1.04361428
