vbh,bh
-90.758976,0.00519
-79.224672,0.00692
-75.941184,0.00346
-74.594112,0.002595
-67.606176,0.016435
-64.070112,0.01557
-52.114848,0.089095
-52.19904,0.09861
-51.35712,0.14705
-36.960288,0.435095
-33.424224,0.642695
-19.448352,0.597715
-18.9432,0.65394
-4.967328,0.66605
-4.967328,0.69027
-31.740384,0.751685
-28.372704,0.74736
-23.068608,0.789745
-19.953504,0.78888
-5.304096,0.78888
-10.271424,0.94458
8.924352,0.720545
8.84016,0.770715
8.924352,0.794935
15.912288,0.793205
1.936416,1.19716
14.7336,1.20581
23.1528,0.770715
23.1528,0.621935
23.068608,0.87538
29.972352,0.80791
29.972352,0.91517
38.559936,0.791475
37.212864,0.8477
37.04448,0.91344
44.369184,0.91517
44.369184,0.92382
47.484288,0.91171
52.19904,0.794935
26.688864,1.51375
39.065088,1.516345
47.484288,1.514615
