vbn,bn
-117.507593,0.29712744
-107.312469,0.18157788
-92.547117,0.15039784
-92.28345,0.13022252
-91.580338,0.13113958
-64.246859,0.16231962
-63.895303,0.13205664
-57.655184,0.16140256
-54.051735,0.1100472
-51.766621,0.11738368
-49.920952,0.10821308
-46.405392,0.12288604
-45.350724,0.1008766
-44.296056,0.09537424
-49.745174,0.07428186
-39.110605,0.0871207
-34.27671,0.07428186
-32.870486,0.08987188
-31.200595,0.0779501
-30.936928,0.09995954
-28.036591,0.07153068
-26.718256,0.08620364
-21.884361,0.07703304
-18.808246,0.05594066
-18.105134,0.09995954
-8.7889,0.07153068
-4.306561,0.06327714
-3.867116,0.08620364
3.076115,0.06694538
9.755679,0.05869184
10.107235,0.08436952
16.523132,0.06144302
24.081586,0.07703304
24.60892,0.05869184
24.784698,0.0412677
27.597146,0.045853
28.388147,0.06052596
31.464262,0.0596089
36.825491,0.05318948
39.462161,0.05135536
39.374272,0.04035064
40.692607,0.045853
45.70228,0.03851652
49.129951,0.03026298
50.360397,0.04310182
53.700179,0.03301416
